chunk_id,source_file,doc_title,doc_type,product_family,entry_id,version,language,page,chunk_index,page_chunk_count,chunk_text,char_count,word_count,is_boilerplate
G120C_op_instr_0917_en-US_p1_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,1,1,1,"09/2017 Edition
Low voltage converter
Built-in units with frame sizes AA ... F
Operating Instructions
www.siemens.com/drives
SINAMICS G120C
SINAMICS",148,19,False
G120C_op_instr_0917_en-US_p3_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,3,1,1,"SINAMICS
SINAMICS G120C
SINAMICS G120C converter
Operating Instructions
Edition 09/2017, firmware 4.7 SP9
09/2017, FW V4.7 SP9
A5E34263257B AF
Changes in the current
manual
Fundamental safety
instructions 1
Introduction 2
Description 3
Installing 4
Commissioning 5
Advanced commissioning 6
Saving settings and series
commissioning 7
Alarms, faults and system
messages 8
Corrective maintenance 9
Technical data 10
Appendix A",423,59,False
G120C_op_instr_0917_en-US_p4_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,4,1,4,"Legal information
Warning notice system
This manual contains notices you have to observe in order to ensure your personal safety, as well as to prevent
damage to property. The notices referring to your personal safety are highlighted in the manual by a safety alert
symbol, notices referring only to property damage have no safety alert symbol. These notices shown below are
graded according to the degree of danger.
DANGER
indicates that death or severe personal injury will result if proper precautions are not taken.
WARNING
indicates that death or severe personal injury may result if proper precautions are not taken.
CAUTION
indicates that minor personal injury can result if proper precautions are not taken.
NOTICE
indicates that property damage can result if proper precautions are not taken.
If more than one degree of danger is present, the warning notice representing the highest degree of danger will be
used.",922,148,True
G120C_op_instr_0917_en-US_p4_c2,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,4,2,4,"er precautions are not taken.
If more than one degree of danger is present, the warning notice representing the highest degree of danger will be
used. A notice warning of injury to persons with a safety alert symbol may also include a warning relating to property
damage.
Qualified Personnel
The product/system described in this documentation may be operated only by personnel qualified for the specific
task in accordance with the relevant documentation, in particular its warning notices and safety instructions. Qualified
personnel are those who, based on their training and experience, are capable of identifying risks and avoiding
potential hazards when working with these products/systems.
Proper use of Siemens products
Note the following:
WARNING
Siemens products may only be used for the applications described in the catalog and in the relevant technical
documentation. If products and components from other manufacturers are used, these must be recommended or
approved by Siemens.",991,150,False
G120C_op_instr_0917_en-US_p4_c3,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,4,3,4,"the relevant technical
documentation. If products and components from other manufacturers are used, these must be recommended or
approved by Siemens. Proper transport, storage, installation, assembly, commissioning, operation and
maintenance are required to ensure that the products operate safely and without any problems. The permissible
ambient conditions must be complied with. The information in the relevant documentation must be observed.
Trademarks
All names identified by ® are registered trademarks of Siemens AG. The remaining trademarks in this publication
may be trademarks whose use by third parties for their own purposes could violate the rights of the owner.
Disclaimer of Liability
We have reviewed the contents of this publication to ensure consistency with the hardware and software described.
Since variance cannot be precluded entirely, we cannot guarantee full consistency.",896,128,False
G120C_op_instr_0917_en-US_p4_c4,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,4,4,4,"ion to ensure consistency with the hardware and software described.
Since variance cannot be precluded entirely, we cannot guarantee full consistency. However, the information in
this publication is reviewed regularly and any necessary corrections are included in subsequent editions.
Siemens AG
Division Digital Factory
Postfach 48 48
90026 NÜRNBERG
GERMANY
A5E34263257B AF
P 09/2017 Subject to change
Copyright © Siemens AG 2011 - 2017.
All rights reserved",458,67,False
G120C_op_instr_0917_en-US_p5_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,5,1,2,"Changes in the current manual
Notable changes since the 11/2016 edition of the Manual
New hardware
● Operator Panel IOP replaced by Intelligent Operator Panel 2 (IOP-2).
Installing the inverter (Page 50)
Tools to commission the inverter (Page 116)
● dU/dt filter plus Voltage Peak Limiter
Mount dU/dt filter plus Voltage Peak Limiter (Page 62)
Hardware, which is no longer described in the current operating instructions
Frame size FSA, power range 0.55 kW ... 2.2 kW
Information on inverters FSA, 0.55 kW ...",509,83,False
G120C_op_instr_0917_en-US_p5_c2,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,5,2,2,"is no longer described in the current operating instructions
Frame size FSA, power range 0.55 kW ... 2.2 kW
Information on inverters FSA, 0.55 kW ... 2.2 kW is provided in Edition 11/2016 of the operating
instructions.
Operating instructions SINAMICS G120C, FW V4.7 SP6 (https://
support.industry.siemens.com/cs/ww/en/view/109744769)
New functions
● Telegram 350 added for PROFIBUS and PROFINET
Drive control via PROFIBUS or PROFINET (Page 179)
● Improved method for optimizing the efficiency of standard induction motors
Efficiency optimization (Page 311)
● End position control with two limit switches
Limit position control (Page 202)
● The inverter issues an alarm if a memory card is not inserted.
Activate message for a memory card that is not inserted (Page 332)
Overview of all new and modified functions in firmware V4.7 SP9:
Firmware version 4.7 SP9 (Page 429)
SINAMICS G120C converter
Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF 5",959,146,False
G120C_op_instr_0917_en-US_p6_c1,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,6,1,2,"Corrections
● Default 14 of the terminal strip corrected:
The higher-level control switches the function of the terminal strip via PZD01, bit 15 (not
via digital input DI 3).
Default setting of the interfaces (Page 91)
● Motor holding brake function corrected:
– The inverter sets the signal ""Operation released"" to ""high"" after expiry of the time p1216
(not with the ON command).
– The inverter sets the signal ""Operation released"" to ""low"" with the OFF command (not
with the signal ""Motor is magnetized"").
Motor holding brake (Page 206)
● The maximum permissible cable length has been corrected:
Optional components (Page 36)
● The restrictions relating to the electromagnetic compatibility of the inverter have been
corrected.
Maximum permissible motor cable length (Page 77)
● With the installation of a suitable fuse, the short-circuit current rating SCCR of the inverter
is 100 kA, irrespective of the frame size.
General inverter technical data (Page 405)
Other revised chapters
● Description",999,158,False
G120C_op_instr_0917_en-US_p6_c2,G120C_op_instr_0917_en-US.csv,SINAMICS G120C Low Voltage Converter - Operating Instructions,Operating Instructions,SINAMICS G120C,,4.7,en,6,2,2,"rating SCCR of the inverter
is 100 kA, irrespective of the frame size.
General inverter technical data (Page 405)
Other revised chapters
● Description for drive control via PROFIBUS and PROFINET has been revised
Drive control via PROFIBUS or PROFINET (Page 179)
● External Class B line filters for inverters FSAA ... FSC, and reference to additional optional
components for the inverter added
Optional components (Page 36)
● Data regarding branch protection reduced to typical fuses.
Branch circuit protection (Page 75)
● Technical data for the digital inputs and digital outputs added:
– Minimum current for the ""high"" state for digital inputs
– Maximum current for the ""low"" state for transistor outputs
Technical data of inputs and outputs (Page 401)
Changes in the current manual
SINAMICS G120C converter
6 Operating Instructions, 09/2017, FW V4.7 SP9, A5E34263257B AF",872,137,False
