chunk_id,source_file,doc_title,doc_type,product_family,entry_id,version,language,page,chunk_index,page_chunk_count,chunk_text,char_count,word_count,is_boilerplate
s7-1200__user_manual_p1_c1,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,1,1,1,"S7-1200 Functional Safety Manual

SIMATIC
S7
S7-1200 Functional Safety Manual
Manual

V4.2, 09/2016
A5E03470344-AB
Preface

Product overview

1

New features

2

Getting started

3

Fail-Safe signal module (SM)
applications

4

Fail-Safe CPU and signal
module (SM) installation

5

Fail-Safe signal module (SM)
I/O configuration

6

Fail-Safe signal module (SM)
diagnostics

7

Technical specifications

A

Ordering information

B

Fail-Safe response times

C",459,61,False
s7-1200__user_manual_p2_c1,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,2,1,4,"Siemens AG
Division Digital Factory
Postfach 48 48
90026 NÜRNBERG
GERMANY
A5E03470344-AB
P 08/2016 Subject to change
Copyright © Siemens AG 2016.
All rights reserved
Legal information
Warning notice system
This manual contains notices you have to observe in order to ensure your personal safety, as well as to prevent
damage to property. The notices referring to your personal safety are highlighted in the manual by a safety alert
symbol, notices referring only to property damage have no safety alert symbol. These notices shown below are
graded according to the degree of danger.

DANGER
indicates that death or severe personal injury will result if proper precautions are not taken.

WARNING
indicates that death or severe personal injury may result if proper precautions are not taken.

CAUTION
indicates that minor personal injury can result if proper precautions are not taken.",884,139,True
s7-1200__user_manual_p2_c2,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,2,2,4,"l injury may result if proper precautions are not taken.

CAUTION
indicates that minor personal injury can result if proper precautions are not taken.

NOTICE
indicates that property damage can result if proper precautions are not taken.
If more than one degree of danger is present, the warning notice representing the highest degree of danger will
be used. A notice warning of injury to persons with a safety alert symbol may also include a warning relating to
property damage.
Qualified Personnel
The product/system described in this documentation may be operated only by personnel qualified for the specific
task in accordance with the relevant documentation, in particular its warning notices and safety instructions.
Qualified personnel are those who, based on their training and experience, are capable of identifying risks and
avoiding potential hazards when working with these products/systems.
Proper use of Siemens products
Note the following:",954,145,False
s7-1200__user_manual_p2_c3,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,2,3,4,"pable of identifying risks and
avoiding potential hazards when working with these products/systems.
Proper use of Siemens products
Note the following:

WARNING
Siemens products may only be used for the applications described in the catalog and in the relevant technical
documentation. If products and components from other manufacturers are used, these must be recommended
or approved by Siemens. Proper transport, storage, installation, assembly, commissioning, operation and
maintenance are required to ensure that the products operate safely and without any problems. The permissible
ambient conditions must be complied with. The information in the relevant documentation must be observed.
Trademarks
All names identified by ® are registered trademarks of Siemens AG.",770,109,False
s7-1200__user_manual_p2_c4,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,2,4,4,"ed with. The information in the relevant documentation must be observed.
Trademarks
All names identified by ® are registered trademarks of Siemens AG. The remaining trademarks in this publication
may be trademarks whose use by third parties for their own purposes could violate the rights of the owner.
Disclaimer of Liability
We have reviewed the contents of this publication to ensure consistency with the hardware and software
described. Since variance cannot be precluded entirely, we cannot guarantee full consistency. However, the
information in this publication is reviewed regularly and any necessary corrections are included in subsequent
editions.",657,97,False
s7-1200__user_manual_p3_c1,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,3,1,2,"S7-1200 Functional Safety Manual
Manual, V4.2, 09/2016, A5E03470344-AB 3
Preface

Purpose of the manual
The S7-1200 series is a line of programmable logic controllers (PLCs) that can control a
variety of automation applications. Compact design, low cost, and a powerful instruction set
make the S7-1200 a perfect solution for controlling a wide variety of applications. The
S7-1200 models and Windows-based programming tools give you the flexibility you need to
solve your automation problems.
This manual provides information about using, installing, and programming the S7- 1200
Fail-Safe PLCs and is designed for engineers, programmers, installers, and electricians who
have a general knowledge of programmable logic controllers.
Required basic knowledge
To understand this manual, it is necessary to have a general knowledge of automation and
programmable logic controllers.
Scope of the manual
This manual describes or references the following products:
● STEP 7 Basic V14 or later with:
– STEP",999,148,False
s7-1200__user_manual_p3_c2,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,3,2,2,"ogrammable logic controllers.
Scope of the manual
This manual describes or references the following products:
● STEP 7 Basic V14 or later with:
– STEP 7 Safety Basic V14 or later
● STEP 7 Professional V14 or later with:
– STEP 7 Safety Basic V14 or later
– STEP 7 Safety Advanced V14 or later
● S7-1200 fail-safe CPU firmware release V4.2 or later
● S7-1200 fail-safe signal modules (SM) firmware release V2.0 or later",418,75,False
s7-1200__user_manual_p4_c1,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,4,1,4,"Preface

S7-1200 Functional Safety Manual
4 Manual, V4.2, 09/2016, A5E03470344-AB
For a complete list of the S7-1200 products described in this manual, refer to the technical
specifications article numbers for fail-safe CPUs (Page 229) and fail-safe SMs (Page 229).

WARNING
The ""SIMATIC Safety - Configuring and Programming, Programming and Operating
Manual"" in the current version is the authoritative source for Functional Safety -related
information concerning configuring and programming.
Siemens identifies the ""SIMATIC Safety - Configuring and Programming, Programming and
Operating Manual"" (http://support.automation.siemens.com/WW/view/en/54110126/0/en)
as the authoritative and/or original source in the case of discrepancies between the
manuals.
All warnings in the ""SIMATIC Safety - Configuring and Programming, Programming and
Operating Manual"" have to be observed.",878,114,False
s7-1200__user_manual_p4_c2,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,4,2,4,"pancies between the
manuals.
All warnings in the ""SIMATIC Safety - Configuring and Programming, Programming and
Operating Manual"" have to be observed.

Certification, CE label, C-Tick, and other approvals
Refer to the technical specifications (Page 160) for more information.
Glossary
The definitions in the glossary are provided to give the reader an easy first reference for
understanding the terms as used in this manual.",424,64,False
s7-1200__user_manual_p4_c3,s7-1200__user_manual.csv,S7-1200 Functional Safety Manual,Functional Safety Manual,S7-1200,,4.2,en,4,3,4,".
Glossary
The definitions in the glossary are provided to give the reader an easy first reference for
understanding the terms as used in this manual. Some terms have detailed formal definitions
in IEC 61508, EN ISO 13849, IEC 61784-3-3, and associated standards, and must be
understood in terms of broad safety concepts detailed in these standards.
Another reference for more exact definitions is the ""SIMATIC Safety - Configuring and
Programming, Programming and Operating Manual""
(http://support.automation.siemens.com/WW/view/en/54110126/0/en).
Service and support
In addition to our documentation, we offer our technical expertise on the Internet on the
customer support web site (http://www.siemens.com/automation/).
Contact your Siemens distributor or sales office for assistance in answering any technical
questions, for training, or for ordering S7 products.",867,120,False
