chunk_id,source_file,doc_title,doc_type,product_family,entry_id,version,language,page,chunk_index,page_chunk_count,chunk_text,char_count,word_count,is_boilerplate
s71200_easy_book_en-US_en-US_p1_c1,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,1,1,1,"Easy Book

SIMATIC
S7-1200
Easy Book
Manual

01/2015
A5E02486774-AG
Preface

Introducing the powerful and
flexible S7-1200

1

STEP 7 makes the work
easy

2

Getting started

3

PLC concepts made easy

4

Easy to create the device
configuration

5

Programming made easy

6

Easy to communicate
between devices

7

PID is easy

8

Web server for easy Internet
connectivity

9

Motion control is easy

10

Easy to use the online tools

11

IO-Link is easy

12

Technical specifications

A

Exchanging a V3.0 CPU for
a V4.1 CPU

B",528,88,False
s71200_easy_book_en-US_en-US_p2_c1,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,2,1,4,"Siemens AG
Division Digital Factory
Postfach 48 48
90026 NÜRNBERG
GERMANY
A5E02486774-AG
P 12/2014 Subject to change
Copyright © Siemens AG 2015.
All rights reserved
Legal information
Warning notice system
This manual contains notices you have to observe in order to ensure your personal safety, as well as to prevent
damage to property. The notices referring to your personal safety are highlighted in the manual by a safety alert
symbol, notices referring only to property damage have no safety alert symbol. These notices shown below are
graded according to the degree of danger.

DANGER
indicates that death or severe personal injury will result if proper precautions are not taken.

WARNING
indicates that death or severe personal injury may result if proper precautions are not taken.

CAUTION
indicates that minor personal injury can result if proper precautions are not taken.",884,139,True
s71200_easy_book_en-US_en-US_p2_c2,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,2,2,4,"l injury may result if proper precautions are not taken.

CAUTION
indicates that minor personal injury can result if proper precautions are not taken.

NOTICE
indicates that property damage can result if proper precautions are not taken.
If more than one degree of danger is present, the warning notice representing the highest degree of danger will
be used. A notice warning of injury to persons with a safety alert symbol may also include a warning relating to
property damage.
Qualified Personnel
The product/system described in this documentation may be operated only by personnel qualified for the specific
task in accordance with the relevant documentation, in particular its warning notices and safety instructions.
Qualified personnel are those who, based on their training and experience, are capable of identifying risks and
avoiding potential hazards when working with these products/systems.
Proper use of Siemens products
Note the following:",954,145,False
s71200_easy_book_en-US_en-US_p2_c3,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,2,3,4,"pable of identifying risks and
avoiding potential hazards when working with these products/systems.
Proper use of Siemens products
Note the following:

WARNING
Siemens products may only be used for the applications described in the catalog and in the relevant technical
documentation. If products and components from other manufacturers are used, these must be recommended
or approved by Siemens. Proper transport, storage, installation, assembly, commissioning, operation and
maintenance are required to ensure that the products operate safely and without any problems. The permissible
ambient conditions must be complied with. The information in the relevant documentation must be observed.
Trademarks
All names identified by ® are registered trademarks of Siemens AG.",770,109,False
s71200_easy_book_en-US_en-US_p2_c4,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,2,4,4,"ed with. The information in the relevant documentation must be observed.
Trademarks
All names identified by ® are registered trademarks of Siemens AG. The remaining trademarks in this publication
may be trademarks whose use by third parties for their own purposes could violate the rights of the owner.
Disclaimer of Liability
We have reviewed the contents of this publication to ensure consistency with the hardware and software
described. Since variance cannot be precluded entirely, we cannot guarantee full consistency. However, the
information in this publication is reviewed regularly and any necessary corrections are included in subsequent
editions.",657,97,False
s71200_easy_book_en-US_en-US_p3_c1,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,3,1,3,"Easy Book
Manual, 01/2015, A5E02486774-AG 3
Preface

Welcome to the world of S7-1200. The SIMATIC S7-1200 compact controller is the modular,
space-saving controller for small automation systems that require either simple or advanced
functionality for logic, HMI and networking. The compact design, low cost, and powerful
features make the S7-1200 a perfect solution for controlling small applications.
As part of the SIMATIC commitment to ""totally integrated automation"" (TIA), the S7- 1200
product family and the TIA Portal programming software give you the flexibility you need to
solve your automation needs.
The S7-1200 helps to make the most challenging tasks easy!
The SIMATIC S7-1200 controller solution, designed for the ""compact"" controller class, is
comprised of the SIMATIC S7-1200 controller and SIMATIC HMI Basic panels that can both
be programmed with the TIA Portal engineering software.",902,134,False
s71200_easy_book_en-US_en-US_p3_c2,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,3,2,3,"ass, is
comprised of the SIMATIC S7-1200 controller and SIMATIC HMI Basic panels that can both
be programmed with the TIA Portal engineering software. The ability to program both
devices using the same engineering software significantly reduces development costs. The
TIA Portal includes STEP 7 for S7-1200 programming and WinCC for designing Basic panel
projects.

The S7-1200 compact controller includes:
- Built-in PROFINET
- High-speed I/O capable of motion control, onboard
analog inputs to minimize space requirements and
the need for additional I/O, 4 pulse generators for
pulse-train and pulse-width applications (Page 70),
and up to 6 high-speed counters (Page 129)
- On-board I/O points built into the CPU modules
provide from 6 to 14 input points and from 4 to 10
output points.",789,124,False
s71200_easy_book_en-US_en-US_p3_c3,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,3,3,3,"to 6 high-speed counters (Page 129)
- On-board I/O points built into the CPU modules
provide from 6 to 14 input points and from 4 to 10
output points.

Signal modules for DC, relay, or analog I/O
expand the number of I/O points, and inno-
vative signal boards snap onto the front of
the CPU to provide additional I/O (Page 18).
The SIMATIC HMI Basic panels (Page 20)
were designed specifically for the S7-1200.
This Easy Book provides an introduction to
the S7-1200 PLC. The following pages offer
an overview of the many features and capa-
bilities of the devices.
For additional information, refer to the S7-1200 Programmable Controller System Manual.
For information about UL and FM certification, CE labeling, C-Tick and other standards, refer
to the Technical specifications (Page 361).",790,131,False
s71200_easy_book_en-US_en-US_p4_c1,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,4,1,5,"Preface

Easy Book
4 Manual, 01/2015, A5E02486774-AG
This manual describes the following products:
● STEP 7 V13 SP1 Basic and Professional
● S7-1200 CPU firmware release V4.1
Documentation and information
S7-1200 and STEP 7 provide a variety of documentation and other resources for finding the
technical information that you require.
● The S7-1200 Programmable Controller System Manual provides specific information
about the operation, programming, and the specifications for the complete S7-1200
product family.",514,73,False
s71200_easy_book_en-US_en-US_p4_c2,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,4,2,5,"ntroller System Manual provides specific information
about the operation, programming, and the specifications for the complete S7-1200
product family. In addition to the system manual, the S7-1200 Easy Book provides a
more general overview to the capabilities of the S7-1200 family.
Both the system manual and the Easy Book are available as electronic (PDF) manuals.
The electronic manuals can be downloaded from the customer support web site and can
also be found on the documentation disk that ships with every S7-1200 CPU.
● The online STEP 7 information system provides immediate access to the conceptual
information and specific instructions that describe the operation and functionality of the
programming package and basic operation of SIMATIC CPUs.
● My Documentation Manager accesses the electronic (PDF) versions of the SIMATIC
documentation set, including the system manual, the Easy Book, and the STEP 7
information system.",935,142,False
s71200_easy_book_en-US_en-US_p4_c3,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,4,3,5,"ccesses the electronic (PDF) versions of the SIMATIC
documentation set, including the system manual, the Easy Book, and the STEP 7
information system. With My Documentation Manager, you can drag and drop topics from
various documents to create your own custom manual.
The customer support entry portal (http://support.automation.siemens.com) provides a
link to My Documentation Manager under mySupport.
● The customer support web site also provides podcasts, FAQs, and other helpful
documents for S7-1200 and STEP 7. The podcasts utilize short educational video
presentations that focus on specific features or scenarios in order to demonstrate the
interactions, convenience, and efficiency provided by STEP 7.",710,103,False
s71200_easy_book_en-US_en-US_p4_c4,s71200_easy_book_en-US_en-US.csv,SIMATIC S7-1200 Easy Book,Easy Book / Getting Started Guide,S7-1200,,3.0,en,4,4,5,"o
presentations that focus on specific features or scenarios in order to demonstrate the
interactions, convenience, and efficiency provided by STEP 7. Visit the following web
sites to access the collection of podcasts:
– STEP 7 Basic web page (http://www.automation.siemens.com/mcms/simatic-
controller-software/en/step7/step7-basic/Pages/Default.aspx)
– STEP 7 Professional web page (http://www.automation.siemens.com/mcms/simatic-
controller-software/en/step7/step7-professional/Pages/Default.aspx)
● You can also follow or join product discussions on the Service & Support technical forum
(https://www.automation.siemens.com/WW/forum/guests/Conferences.aspx?Language=e
n&siteid=csius&treeLang=en&groupid=4000002&extranet=standard&viewreg=WW&nodei
d0=34612486).",763,68,False
