chunk_id,source_file,doc_title,doc_type,product_family,entry_id,version,language,page,chunk_index,page_chunk_count,chunk_text,char_count,word_count,is_boilerplate
s71200_system_manual_en-US_en-US_p1_c1,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,1,1,1,"S7- 1200 Programmable controller

SIMATIC
S7
S7-1200 Programmable controller
System Manual

04/2012
A5E02486680-06
Preface

Product overview

1
STEP 7 programming
software

2
Installation

3
PLC concepts

4
Device configuration

5
Programming concepts

6
Basic instructions

7
Extended instructions

8
Technology instructions

9
Communication

10
Web server

11
Communication processor

12
Teleservice communication
(SMTP email)

13
Online and diagnostic tools

14
Technical specifications

A
Calculating a power budget

B
Order numbers

C",539,71,False
s71200_system_manual_en-US_en-US_p2_c1,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,2,1,4,"Legal information

Legal information
Warning notice system
This manual contains notices you have to observe in order to ensure your personal safety, as well as to prevent
damage to property. The notices referring to your personal safety are highlighted in the manual by a safety alert
symbol, notices referring only to property damage have no safety alert symbol. These notices shown below are
graded according to the degree of danger.
DANGER
indicates that death or severe personal injury will result if proper precautions are not taken.
WARNING
indicates that death or severe personal injury may result if proper precautions are not taken.
CAUTION
with a safety alert symbol, indicates that minor personal injury can result if proper precautions are not taken.
CAUTION
without a safety alert symbol, indicates that property damage can result if proper precautions are not taken.
NOTICE
indicates that an unintended result or situation can occur if the relevant information is not taken into",992,157,True
s71200_system_manual_en-US_en-US_p2_c2,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,2,2,4,"t if proper precautions are not taken.
NOTICE
indicates that an unintended result or situation can occur if the relevant information is not taken into account.
If more than one degree of danger is present, the warning notice representing the highest degree of danger will
be used. A notice warning of injury to persons with a safety alert symbol may also include a warning relating to
property damage.
Qualified Personnel
The product/system described in this documentation may be operated only by personnel qualified for the specific
task in accordance with the relevant documentation, in particular its warning notices and safety instructions.
Qualified personnel are those who, based on their training and experience, are capable of identifying risks and
avoiding potential hazards when working with these products/systems.
Proper use of Siemens products
Note the following:
WARNING
Siemens products may only be used for the applications described in the catalog and in the relevant",984,152,False
s71200_system_manual_en-US_en-US_p2_c3,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,2,3,4,"se of Siemens products
Note the following:
WARNING
Siemens products may only be used for the applications described in the catalog and in the relevant technical
documentation. If products and components from other manufacturers are used, these must be recommended
or approved by Siemens. Proper transport, storage, installation, assembly, commissioning, operation and
maintenance are required to ensure that the products operate safely and without any problems. The permissible
ambient conditions must be complied with. The information in the relevant documentation must be observed.
Trademarks
All names identified by ® are registered trademarks of Siemens AG. The remaining trademarks in this publication
may be trademarks whose use by third parties for their own purposes could violate the rights of the owner.
Disclaimer of Liability
We have reviewed the contents of this publication to ensure consistency with the hardware and software
described.",951,140,False
s71200_system_manual_en-US_en-US_p2_c4,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,2,4,4,"f the owner.
Disclaimer of Liability
We have reviewed the contents of this publication to ensure consistency with the hardware and software
described. Since variance cannot be precluded entirely, we cannot guarantee full consistency. However, the
information in this publication is reviewed regularly and any necessary corrections are included in subsequent
editions.

Siemens AG
Industry Sector
Postfach 48 48
90026 NÜRNBERG
GERMANY
Order number: 6ES7298-8FA30-8BH0
P 05/2012 Technical data subject to change
Copyright © Siemens AG 2012.
All rights reserved",558,80,False
s71200_system_manual_en-US_en-US_p3_c1,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,3,1,3,"S7-1200 Programmable controller
System Manual, 04/2012, A5E02486680-06 3
Preface
Purpose of the manual
The S7-1200 series is a line of programmable logic controllers (PLCs) that can control a
variety of automation applications. Compact design, low cost, and a powerful instruction set
make the S7-1200 a perfect solution for controlling a wide variety of applications. The S7-
1200 models and the Windows-based programming tool give you the flexibility you need to
solve your automation problems.
This manual provides information about installing and programming the S7-1200 PLCs and
is designed for engineers, programmers, installers, and electricians who have a general
knowledge of programmable logic controllers.
Required basic knowledge
To understand this manual, it is necessary to have a general knowledge of automation and
programmable logic controllers.
Scope of the manual
This manual describes the following products:
● STEP 7 V11 Basic and Professional
● S7-1200 CPU firmware release",995,146,False
s71200_system_manual_en-US_en-US_p3_c2,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,3,2,3,"ogic controllers.
Scope of the manual
This manual describes the following products:
● STEP 7 V11 Basic and Professional
● S7-1200 CPU firmware release V3.0
For a complete list of the S7-1200 products described in this manual, refer to the technical
spe
cifications (Page 699).
Certification, CE label, C-Tick, and other standards
Refer to the technical specifications (Page 699) for more information.
Service and support
In addition to our documentation, we offer our technical expertise on the Internet on the
customer support web site (http://www.siemens.com/automation/).
Contact your Siemens distributor or sales office for assistance in answering any technical
questions, for training, or for ordering S7 products.",719,106,False
s71200_system_manual_en-US_en-US_p3_c3,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,3,3,3,"on/).
Contact your Siemens distributor or sales office for assistance in answering any technical
questions, for training, or for ordering S7 products. Because your sales representatives are
technically trained and have the most specific knowledge about your operations, process
and industry, as well as about the individual Siemens products that you are using, they can
provide the fastest and most efficient answers to any problems you might encounter.",453,68,False
s71200_system_manual_en-US_en-US_p4_c1,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,4,1,5,"Preface

S7-1200 Programmable controller
4 System Manual, 04/2012, A5E02486680-06
Documentation and information
S7-1200 and STEP 7 provide a variety of documentation and other resources for finding the
technical information that you require.
● The S7-1200 system manual provides specific information about the operation,
programming and the specifications for the complete S7-1200 product family. In addition
to the system manual, the S7-1200 Easy Book provides a more general overview to the
capabilities of the S7-1200 family.
Both the system manual and the Easy Book are available as electronic (PDF) and printed
manuals.",624,91,False
s71200_system_manual_en-US_en-US_p4_c2,s71200_system_manual_en-US_en-US.csv,S7-1200 Programmable Controller System Manual (2012 Edition),System Manual,S7-1200,,3.0,en,4,2,5,"al overview to the
capabilities of the S7-1200 family.
Both the system manual and the Easy Book are available as electronic (PDF) and printed
manuals. The electronic manuals can be downloaded from the customer support web site
and can also be found on the companion disk that ships with every S7-1200 CPU.
● The online information system of STEP 7 provides immediate access to the conceptual
information and specific instructions that describe the operation and functionality of the
programming package and basic operation of SIMATIC CPUs.
● My Documentation Manager accesses the electronic (PDF) versions of the SIMATIC
documentation set, including the system manual, the Easy Book and the information
system of STEP 7.",720,114,False
